,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
n,Kaleb,,,Kaleb adalah salah satu dari dua belas mata-mata yang diutus Musa untuk mengamati Kanaan. Dia dan Yosua adalah satu-satunya dari mata-mata itu yang percaya bahwa orang Israel dapat menaklukkan orang Kanaan. Allah menghadiahi kedua pria ini karena iman dan keberanian mereka dalam pertempuran.,,,"Caleb means dog, that is, faithful companion.",,,,,,,,,,,,,,,,,,,,,,,,
t,unta,Unta-unta,"kamel-binatang; kamel (K); gimel (W dari bahasa Arab)
",Unta lebih tinggi dari kuda dan keledai. Orang-orang bisa naik unta. Unta juga bisa membawa beban. Bulu unta digunakan untuk membuat kain kasar.,"keledai, kuda",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Kanaan ,"orang Kanaan, orang-orang Kanaan",,"Kanaan adalah nama tanah yang Allah janjikan akan Dia berikan kepada bangsa Israel untuk menjadi tanah air mereka. Sebagian besar Kanaan menjadi tanah Israel. Saat ini, bagian dari Kanaan disebut Palestina.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,yaspis merah,,permata; konilian (K); batu berharga (W),Yaspis merah adalah sejenis batu langka berwarna kemerahan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mengukir,"mengukirkan, terukir, diukir",Potong-potong kayu dengan hati-hati untuk membuat sesuatu (G);,Mengukir sesuatu berarti memotongnya dengan alat supaya rupanya berbeda. Orang-orang mengukir berhala dari batu atau kayu.,"menciptakan, mendirikan, membangun ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Kaisar,"raja, Firaun",,Kaisar adalah nama atau gelar yang diberikan orang Romawi kepada pemimpin tertinggi atau raja mereka. Orang Mesir menamai pemimpin tertinggi mereka Firaun.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Kaisarea,,,Kaisarea adalah sebuah kota. Orang-orang Romawi dan orang-orang yang lain menamai beberapa kota Kaisarea sebagai cara untuk menghormati Kaisar/raja Romawi.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,perwira,Perwira-perwira,kepala tentara (G); pemimpin pertempuran (W),Perwira adalah orang militer Romawi yang memimpin hingga 100 tentara. Akar kata perwira dalam beberapa bahasa berarti 100,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Rantai-rantai,"rantai, belenggu, belenggu-belenggu",diikat (G);,Rantai itu seperti tali yang terbuat dari lingkaran logam kuat yang dihubungkan bersama. (Terkadang rantai digunakan untuk mengikat atau menahan orang berbahaya seperti penjahat atau orang yang kerasukan setan.),"penjara, tali","Do you need this as chains are used for other purposes, too?: Men used chains to bind criminals and demoniacs.",GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,kereta perang,"Kereta, kereta-kereta","kereta (ditransliterasikan) (G);
",Kereta perang adalah kereta yang bergerak cepat yang hanya memiliki dua roda dan ditarik oleh kuda. Raja dan pejabat penting bepergian dengan kereta perang.,Kuda-kuda,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,kerub,Kerub-kerub,,"Ada dua jenis kerub: (1) Patung yang bersayap, seperti yang ada di atas Tabut Perjanjian. (2) Roh-roh yang menjaga takhta Allah di surga.",malaikat,,GC 07-Feb-19 A babylonian word employed by exhilic prophets.,,,,,,,,,,,,,,,,,,,,,,,,
t,Kristus,"diurapi, Mesias",al-Masih (W),"Kristus bukanlah nama, Kristus adalah gelar yang berarti diurapi. Dalam Perjanjian Lama, orang Israel akan mengurapi seorang raja atau nabi baru dengan minyak sayur. Dalam Perjanjian Baru, Allah mengurapi Yesus dengan Roh Kudus-Nya. Namun, orang Kristen biasanya menggunakan kata Kristus sebagai nama tanpa menerjemahkannya. Dalam beberapa ayat 'Kristus' dapat diterjemahkan sebagai 'Raja yang Allah janjikan akan datang suatu hari nanti'.",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,Orang Kristen,orang percaya,"kelompok orang yang beriman (kepada Yesus);
pengikut Kristus; orang yang menjadi milik Kristus (R);
Orang-orang yang mengikuti al-Masih (W)","Kristen secara harfiah berarti ""Kristus kecil"", atau ""pengikut Kristus"", orang-orang yang mengikuti teladan dan ajaran Kristus.
Alkitab menggambarkan orang Kristen dalam banyak cara. Mereka adalah orang kudus yang menjadi milik Allah; 'orang percaya' = orang-orang yang beriman kepada Yesus; 'murid' = orang-orang yang mematuhi perintah Yesus; 'kakak dan adik' = orang-orang yang saling mencintai; 'jemaat' = orang-orang yang beribadah bersama.","orang kudus, murid-murid, rasul",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,jemaat,,Pertemuan orang percaya (W); orang-orang beriman (R); orang-orang yang beribadah (K),"Setiap komunitas pengikut Yesus adalah jemaat, dan semua jemaat Kristen bersama-sama membentuk jemaat Kristus, baik di bumi maupun di surga. Alkitab juga menyebut jemaat sebagai Tubuh Kristus.","Orang-orang kudus, kumpulan, perkumpulan",,"No ! Never a building. And capital letters mean nothing in many of the world's scripts. Whilst some of Israel become members of the church, the church has never become Israel. ",,,,,,,,,,,,,,,,,,,,,,,,
t,kayu manis,,sinamon (R); kinamon (K);,"Kayu manis adalah bumbu harum yang terbuat dari kulit pohon jenis tertentu. Itu dicampur dengan minyak yang digunakan untuk mengurapi raja, atau untuk menyiapkan jenazah untuk penguburan.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sunat,"menyunat, menyunatkan,  bersunat, disunat",potongan lingkaran; memotong sekitar (R);,"Potongan ritual yang dilakukan pada penis anak laki-laki atau pria. Allah memerintahkan sunat untuk semua pria Israel atau bayi laki-laki sebagai tanda bahwa mereka setia pada Perjanjian Lama. Dalam Perjanjian Baru, sunat fisik tidak lagi diperlukan untuk menunjukkan hubungan atau kesetiaan kepada Allah. Sebaliknya, ini digunakan secara kiasan untuk menjelaskan bagaimana Kristus telah menghilangkan sifat kedagingan (dosa) orang percaya untuk memberikan sifat yang baru dan benar (Kol. 2:11-13; Rm. 4:11; 1 Kor. 7:18 ). Baptisan sekarang juga adalah tanda kesetiaan kita pada Perjanjian Baru Allah.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kota,Kota-kota,,"Kota adalah kampung yang memiliki pemerintahan; kampung adalah kelompok rumah keluarga. Pada zaman Alkitab, kota-kota biasanya terdapat kumpulan rumah dan bangunan terbesar, seringkali dengan tembok batu pelindung yang kuat di sekelilingnya.",kampung,,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,tahir,"mentahirkan, ditahirkan",bersih (R);,"Di dalam hukum Musa, orang Yahudi harus melakukan mandi ritual, atau melakukan pengorbanan, sebelum melayani Allah. Orang-orang bisa menajiskan diri atau membuat diri mereka najis dengan melayani berhala. Kontak dengan mayat atau darah bisa membuat orang najis secara ritual.
  Di dalam Perjanjian Baru, darah Yesus mentahirkan orang percaya dari segala dosa dan kenajisan, melalui iman kita kepada-Nya. (Pemuda harus tetap murni secara seksual sambil menunggu pernikahan.)","bersih, suci, murni, mengampuni",People can defile themselves by serving idols. Contact with dead or blood can make ritually unclean. (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,Perintah-perintah,perintah,,"Perintah adalah suruhan yang diberikan oleh seorang pemimpin kepada orang lain untuk dipatuhi. Perintah adalah suruhan yang menjadi permanen, seperti Sepuluh Perintah, dan perintah Yesus.",hukum,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,gundik,Gundik-gundik,Seseorang yang seperti seorang istri (G);,"Beberapa orang kaya menikah dengan dua jenis wanita: istri yang anaknya dapat menerima warisan, dan gundik yang anaknya tidak dapat menerima warisan.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,menghukum,"mempersalahkan, dihukum",,"Menghukum berarti menjatuhkan hukuman terhadap seseorang, terkadang memerintahkan pejabat untuk menghukum seseorang. Hakim menghukum penjahat. Allah menghukum malaikat dan manusia yang berdosa dan tidak bertobat.","memberkati, mengutuk",,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
t,mengaku,"diakui, mengakui",beri tahu (G); menerima (W),Mengaku berarti mengatakan apa yang Tuhan katakan tentang sesuatu. Mengakui dosa berarti mengakui bahwa kita telah melakukan sesuatu yang dilarang oleh Allah. Mengakui Kristus berarti mengatakan bahwa kita percaya apa yang Allah katakan tentang Dia.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Korintus,orang Korintus,,Korintus adalah kota perdagangan besar di negara yang disebut Yunani. Kota itu penuh dengan orang-orang yang menyembah banyak berhala. Paulus memulai jemaat-jemaat Kristen baru di Korintus dan menulis surat-surat kepada mereka (Kisah Para Rasul 18).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Kornelius,,,"Kornelius adalah seorang perwira militer Romawi yang berdoa kepada Tuhan. Tuhan mengirim seorang malaikat kepadanya menyuruhnya memanggil Petrus untuk bertemu dengan dia. Ketika seisi rumah Kornelius dan teman-temannya mendengar Petrus menceritakan tentang Yesus, mereka menjadi orang Kristen non-Yahudi pertama. (Nama Kornelius berarti Tanduk.)",,,GC 08-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,negeri,"Negeri-negeri, bangsa, bangsa-bangsa",Bumi / tanah (G);,Negeri adalah tanah yang sangat luas di mana orang membuat rumah dan mungkin juga memiliki pemerintahan. Negeri juga bisa disebut bangsa.,"kerajaan, propinsi, tanah",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t 107,perjanjian,,"saling menjanjikan sesuatu (D);
janji yang kuat;
kesepakatan (W); ikatan (R);
Perkataan saya yang baru tentang apa yang akan saya lakukan (G) (Ibrani 8:8);
pembicaraan yang mengikat (PNG);
","Perjanjian adalah kesepakatan khusyuk antara dua orang atau kelompok yang berjanji untuk saling membantu. Allah membuat perjanjian dengan beberapa pria dan dengan Israel. Allah berjanji untuk memberkati orang Israel, jika mereka mematuhi hukum-Nya. Yesus telah membuat perjanjian 'baru' untuk memberikan kehidupan kepada semua orang yang mematuhi perintah-perintahnya.","janji,
Sumpah, persetujuan, persekutuan",binding tok (other language),Jesus' commandments include saving faith.,,,,,,,,,,,,,,,,,,,,,,,,
t 100,menciptakan,diciptakan,"menyebabkan sesuatu menjadi (R);
Membuat (G)
",Menciptakan berarti membuat sesuatu yang baru. Allah menciptakan dunia dan semua makhluk hidup. Allah menciptakan kita baru ketika kita percaya kepada Yesus. Suatu hari Allah akan menciptakan langit dan bumi baru.,"mengukir, membangun
",,,,,,,,,,,,,,,,,,,,,,,,,,
t,salib,kayu salib,pohon salib (K); kayu bersilang (W);,"Kayu salib adalah alat untuk menyiksa dan membunuh penjahat kejam. Orang Romawi akan memaku atau mengikat tangan dan kaki seseorang ke tiang kayu tegak dengan balok kayu, lalu membiarkannya mati. Setelah Yesus mati di kayu salib karena dosa kita, Allah mengampuni kita yang percaya. (Salib Yesus juga mengingatkan kita bahwa kita mungkin harus menderita karena iman kita kepada-Nya.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,mengutuk,"dikutuk, terkutuk ",mengatakan hal yang sangat buruk kepada/tentang yang lain (G);berbicara buruk tentang yang lain (R); kemarahan Tuhan (yang besar / kuat) (R); menyebabkan kerusakan; menghukum;,"Mengutuk berarti mengucapkan celaka kepada orang lain. Allah telah mengutuk semua orang yang memilih untuk melakukan kejahatan. Allah juga mengutuk Yesus yang tidak bersalah, sehingga dia bisa mengampuni kita dan membatalkan kutukan Allah.","memberkati, menghukum","maybe rather than condemn, it would be 'punish, cause harm'",,,,,,,,,,,,,,,,,,,,,,,,,
t,tabir,tirai,,"Tabir adalah kain besar, digantung di tepi atasnya, yang menutupi jendela, menutup pintu, atau membagi ruangan di sebuah rumah.",,,material' can be anything. Cloth seems more specific. Opening also seems a bit general.,,,,,,,,,,,,,,,,,,,,,,,,
n,Damsyik,,,Damsyik adalah salah satu kota tertua di dunia yang terletak ke arah timur laut dari Israel. Itu tetap menjadi ibu kota negara Siria. Yesus menampakkan diri kepada seorang pria bernama Saulus di dekat Damsyik. Saulus menjadi rasul bernama Paulus.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Daniel,,,"Daniel masih muda ketika orang Babel menghancurkan Yerusalem dan membawa banyak orang Yahudi sebagai tawanan ke Babel. Daniel menjadi seorang tawanan juga dan menaati Allah sepanjang hidupnya. Dia tetap menjadi pejabat yang jujur, meskipun tinggal dan bekerja di istana raja kafir. Allah menunjukkan kepada Daniel arti mimpi, dan mengungkapkan kepadanya masa depan bangsa-bangsa. (Nama Daniel berarti ""Allah adalah hakim saya"".)",,,Jesus called Daniel a prophet (Mt 24:15) but the book of Daniel is not classed with the prophets but as a writing.,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Darius,,,"Darius adalah raja ke-4 Kekaisaran Persia, 550–486 SM. Dia menaklukkan Babel pada tahun 539 SM selama masa hidup Daniel. (Nama Darius berarti Dia menyimpan kebaikan.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Daud,raja Daud,,"Daud, raja kedua Israel, hidup sekitar 800 tahun sebelum Yesus. Dia adalah seorang anak gembala yang mendapatkan reputasi sebagai prajurit yang gagah berani. Dia juga membuat musik dan lagu, dan beberapa lagu itu telah menjadi mazmur di dalam Alkitab. Daud tetap setia kepada Allah sepanjang hidupnya, dan Allah berjanji kepadanya bahwa keturunannya akan memerintah Israel selamanya. Yesus adalah keturunan (putra) Raja Daud. (Nama Daud berarti Kekasih.)",raja,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,kematian,"mati, maut",,"Ada beberapa macam kematian: (1) kematian fisik, ketika roh kita meninggalkan tubuh kita, (2) kematian kekal, disebut 'kematian kedua', pergi ke Neraka bukan ke Surga selamanya, (3) kematian rohani, tidak memiliki kehidupan Allah dan Roh Kudus, (Karena Adam berdosa, kita semua lahir mati secara rohani dan perlu 'dilahirkan kembali.') dan (4) menolak berbuat salah, disebut 'mati terhadap diri sendiri,' dengan pertolongan Roh Kudus Allah.","darah, korban",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Debora,,,"Debora adalah seorang nabiah Israel (nabi wanita) selama tahun-tahun para Hakim. Melalui dia, Tuhan memerintahkan Barak untuk berperang melawan pasukan raja Yabin dari Kanaan. (Nama Debora berarti ""lebah"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Debora,,,"Ada dua wanita bernama Debora: (1) perawat Ribka yang meninggal di dekat Betel, dan (2) seorang pemimpin Israel yang memimpin mereka untuk menang atas musuh mereka. (Nama Debora berarti “lebah”.)",,,-4,,,,,,,,,,,,,,,,,,,,,,,,
t,peraturan,"Undang-undang, perintah",,Peraturan adalah hukum formal yang diucapkan oleh seorang raja. Setiap orang harus mematuhi peraturan raja mereka.,hukum,,,GC 8 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Delila,,,Delila adalah wanita Filistin yang dinikahi Simson. (Nama Delila berarti “menyenangkan”.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Demetrius,,,Ada dua orang bernama Demetrius. (1) Salah satunya adalah seorang pandai besi di kota Efesus yang menyembah seorang dewi bernama Artemis. Dia mengajukan tuntutan terhadap Paulus di pengadilan kota. (2) Yang lainnya adalah seorang Kristen yang memiliki reputasi baik (3 Yohanes 1).,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,setan,"Setan-setan, roh jahat, roh-roh jahat","roh yang memberontak kepada Allah;
makhluk jahat (W);
roh jahat (G)","Setan adalah roh yang memberontak melawan Allah, Pencipta mereka. Mereka dapat mendiami dan menjalankan kekuasaan atas manusia yang tidak menaati Allah, yang melayani dewa lain, atau yang memilih untuk melakukan kejahatan. Iblis adalah setan utama. Yesus telah memberikan kuasa kepada para pengikutnya untuk mengusir setan/roh jahat.","malaikat, Iblis ",,Demons are never said to be fallen angels (messengers). The Rabbis taught that demons are the disembodied souls of the biblical Nephelim. Local cultures have their own beliefs about evil spirits.,,,,,,,,,,,,,,,,,,,,,,,,
n,Artemis,,,"Diana adalah nama dewi Yunani (berhala), antara dewa dewi lain, yang disembah oleh orang-orang di kota Efesus.",berhala,,,,,,,,,,,,,,,,,,,,,,,,,,
t,murid,Murid-murid,"pelajar; siswa (secara harfiah ‘anak belajar’) (R);
Orang yang dalam pelatihan (magang);
Orang yang saya (Yesus) ajarkan (G);
siswa (tetapi tidak seperti di kelas);
Kristen;
orang yang mengikuti/menaati Yesus;",Seorang murid adalah orang yang mengikuti instruksi gurunya. Yesus memiliki banyak murid. Dia memerintahkan murid-muridnya untuk pergi memuridkan orang-orang di setiap negara untuk menjadi murid Yesus dengan membaptis mereka dan mengajar mereka untuk mematuhi perintah-perintahnya.,"rasul, orang Kristen",,"GC: Longer notes contain a lot of fascinating information, yet do not necessarily help translators find an appropriate term to employ. ",,,,,,,,,,,,,,,,,,,,,,,,
t,keledai,Keledai-keledai,"kuda-babi/binatang;
kuda kecil; hewan beban (W); binatang (disebut) donki","Keledai adalah binatang seperti kuda kecil, yang bisa ditunggangi orang. Keledai juga membawa beban dan menarik bajak.",,other language: animal (called) donki (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,Ragu-ragu,"tidak percaya, bimbang, meragukan, diragukan, keraguan, keragu-raguan",percaya dengan lemah (G); goyah (W);,"Ragu-ragu berarti tidak yakin tentang sesuatu, atau tidak mempercayai sesuatu yang tampaknya tidak benar. Meragukan janji Allah berarti tidak mempercayai apa yang telah dikatakan atau diungkapkan-Nya. Meragukan berarti curiga atau skeptis tentang kebenaran atau keandalan sesuatu.","kepercayaan, percaya ",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,naga,,kadal besar; ular besar (K),"Naga adalah ular atau kadal besar. Musuh Allah Iblis disebut naga, karena dia kuat, menakutkan, merusak dan jahat. Iblis berwujud naga (ular) ketika dia menyesatkan manusia pertama untuk tidak menaati Allah. Dalam Kitab Wahyu seekor naga digunakan sebagai lambang atau gambaran Iblis.",ular,,Dragons of various sizes certainly do live on earth.,,,,,,,,,,,,,,,,,,,,,,,,
t,mimpi,Mimpi-mimpi,,Mimpi adalah apa yang dilihat dan didengar seseorang saat tidur. Allah atau malaikat terkadang berbicara kepada orang-orang dalam mimpi. Allah menguasakan Yusuf dan Daniel untuk menceritakan arti dari beberapa mimpi yang misterius bagi mereka yang melihatnya.,penglihatan,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,bumi,,"tanah ini;
tanah (G);","Bumi berarti (1) tanah, (2) segala sesuatu di bawah langit, (3) tanah tempat kita manusia tinggal, dan (4) tempat tinggal orang mati di bawah tanah.","dunia, surga",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Eden,,,"Eden adalah nama sebuah tempat yang indah, sebuah taman indah yang sangat luas, di mana Allah bertemu dengan roh-roh lain dan dengan manusia pertama, sebelum Adam dan Hawa berdosa terhadap Allah.",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Edom,,,"Edom adalah negara tempat keturunan Esau menetap, ke arah timur dari Israel. Orang Edom menyembah dewa-dewa palsu dan menjadi musuh Israel. Edom berarti ""merah"".",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Mesir,orang Mesir,Misra (W dari bahasa Arab),Mesir adalah negara di sebelah barat Israel. Bangsa Israel tinggal empat ratus tahun di Mesir di mana mereka menjadi budak. Mesir menguasai tanah Isreal selama ratusan tahun.,,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,Tua-tua,penatua,pria yang lebih tua (G); pemimpin (W),"Tua-tua adalah orang yang lebih tua yang dihormati dan dipatuhi orang lain. Tua-tua sering bertemu sebagai dewan yang memutuskan hal-hal penting. Jemaat-jemaat memiliki tua-tua yang disebut pengawas dan pelayan, atau pendeta dan diaken.",pemimpin,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Elimelekh,,,Elimelekh adalah suami Naomi. Dia adalah seorang Israel yang bermigrasi ke negara Moab di mana dia meninggal. (Nama Elimelekh berarti Allahku adalah Raja.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,"Eli adalah seorang imam di Kemah Suci Israel di Silo. Dialah yang membesarkan anak Samuel yang menjadi seorang nabi. (Nama Eli berarti ""Allahku"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,"Eli adalah seorang imam TUHAN di Silo, sebelum Israel memiliki bait suci. Dia membesarkan nabi Samuel dari seorang anak hingga dewasa, meskipun anak laki-lakinya sendiri tidak jujur. (Nama Eli berarti “Allahku”.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elia,,Ilyas (W),"Elia hidup sekitar 800 tahun sebelum Yesus. Dia adalah seorang nabi Allah, yang dengan berani menegur raja yang jahat dan semua yang menyembah berhala di Israel. (Kitab Maleakhi mengatakan Elia harus kembali untuk mempersiapkan Israel menyambut kedatangan Mesias yang akan datang.) (Yohanes Pembaptis seperti Elia dalam banyak hal.) (Nama Elia berarti Tuhan adalah Allah.)",Elisa,Arabic ref.,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elisa,,Ilyasa (W),Elisa hidup sekitar 800 tahun sebelum Yesus. Dia adalah seorang nabi Allah yang ditunjuk oleh nabi Elia. Elisa melakukan lebih banyak mujizat daripada Elia.,Elia,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Elkana,,,"Ada beberapa orang bernama Elkana. Salah satu adalah suami Hana dan ayah nabi Samuel. (Nama Elkana berarti ""Allah menciptakan"".)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Kaisar ,,,Seorang Kaisar adalah raja atau penguasa tertinggi sebuah kerajaan. Dia memerintah raja-raja yang lebih rendah. Beberapa negara menganggap kaisar mereka sebagai dewa.,"raja, Firaun",,,,,,,,,,,,,,,,,,,,,,,,,,
t,kerajaan,,semua pembagian tanahnya (G);,"Sebuah kerajaan adalah kelompok luas dari beberapa kota, propinsi dan/atau bangsa yang di bawah kekuasaan satu penguasa tertinggi (seorang kaisar). Babel, Asyur, dan Roma adalah contoh kerajaan pada zaman Alkitab.","bangsa, negeri, wilayah, Kaisar",,"GC 08-Feb-19
RR updated",,,,,,,,,,,,,,,,,,,,,,,,
n,Efesus,orang Efesus,,Efesus adalah kota besar di dekat laut di Asia Kecil. Paulus memulai jemaat-jemaat baru di sana dan menulis surat kepada mereka. Yesus juga menulis surat kepada orang Efesus melalui Yohanes di dalam kitab Wahyu.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Efraim,,,Efraim adalah anak bungsu dari dua anak laki-laki Yusuf. Efraim menjadi nenek moyang suku Israel. (Nama Efraim berarti ‘berbuah’.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Epikuros,,,Orang-orang Epikuros mengikuti ajaran filsuf Epikuros yang hidup sekitar 300 tahun sebelum Yesus. Dia mengajarkan bahwa orang-orang harus mencari kebahagiaan dalam hidup sambil menghindari rasa sakit dan ketakutan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esau,,Esawu (W),"Esau hidup sekitar 1900 tahun sebelum Yesus. Ishak, anak Abraham, memiliki putra kembar bernama Esau dan Yakub. Esau, anak sulungnya, dengan bodohnya menjual hak kesulungannya kepada saudaranya, Yakub. (Anak-anak Yakub menjadi orang Israel, dan anak-anak Esau menjadi orang Edom.)",Edom,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ester,,,"Ester adalah seorang yatim piatu Yahudi yang diasuh oleh sepupunya Mordekai. Setelah raja Persia Xerses menjadikan Ester ratu barunya, dia menyelamatkan banyak orang Yahudi dari kematian. (Nama Ester berarti ‘bintang’. Nama Yahudinya Hadassah berarti ‘kayu murad’.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Sida-sida,,"dikebiri; laki-laki (R);
laki-laki yang tidak menikah, disebabkan seperti itu (G);
pengurus rumah tangga (W);",Seorang sida-sida adalah seorang laki-laki yang telah dikebiri/dibius. Negara-negara kafir terkadang melakukan mutilasi semacam ini pada budak atau orang yang dilatih untuk pekerjaan tertentu seperti pelayanan resmi pemerintah. Hal ini bukan kebiasaan orang Yahudi karena hukum Allah melarang orang menjadi sida-sida.,"hamba, pelayan","take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Hawa,,Awa (W bahasa Arab),"Hawa hidup sekitar 4000 tahun sebelum Yesus. Hawa adalah istri Adam dan ibu semua manusia. Ketika Iblis mencobai Adam dan Hawa, mereka tidak menaati Allah. Sejak saat itu, semua manusia juga telah berbuat dosa dan harus mati.",Adam,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",,,,,,,,,,,,,,,,,,,,,,,,
t,jahat,"kejahatan, fasik, kefasikan",,Hal-hal jahat adalah segala sesuatu yang dilarang oleh Allah; orang jahat adalah orang yang tidak mematuhi hukum Allah; roh jahat adalah makhluk tak terlihat yang menyebabkan orang berpikir tentang kejahatan dan melakukan tindakan jahat.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kepercayaan,"percaya, mempercayai, dipercayai","mengatakan ya (kepada seseorang atau sesuatu; menyetujui; menerima; percaya sebagai benar);
memercayai; keyakinan (R); keyakinan (W); hati (makhluk batin) tergantung pada sesuatu (PNG)","Iman berarti (1) mempercayai kebenaran, (2) percaya kepada Allah atau Kristus, dan (3) tetap setia kepada Yesus. Baik di dalam Perjanjian Lama dan Baru, Allah menganggap orang benar sebagai orang yang beriman kepada-Nya dan janji-janji-Nya.","Ragu-ragu, ketidakpercayaan, tidak percaya, belum percaya",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",,,,,,,,,,,,,,,,,,,,,,,,
t,berpuasa,,fast (R); ,"To fast means not to eat for a time. Jews used to fast as a sign of repentance, sorrow, or humility before God. Christians sometimes fast as a form of prayer towards God.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,perjamuan,pesta,"a magnification (W);  remember (W);
big meal / food; big day of worship (K); feast (R);
big dance (festival) / big eating (feast) (G);
","Feasts are special meals with much good food and drinks.  Usually a feast is served for a special occaision.  The Israelites had Feasts for yearly celebrations, when families come together to remember God’s goodness. Israelites had to keep certain feasts at Jerusalem. ",hari raya,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Pentahbisan Bait Allah,,"purification (W); feast when they remembered the day when they opened the house of giving (R);
a big day of worship so that they would remember the day when they opened the house of giving (K)
","In the year 165 before Jesus, the Israelites (Jews) captured their temple back from their enemies, dedicating it again to God. Jews celebrate this yearly feast, calling it Hannukah, and  the ""Festival of Lights.""",,other language: why house of giving? (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
